Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/12/11;2949282;38633677;2197020;9673933;5026534;7942056;11028103;703156;1136609;10103592;2128978;5075044;618135;2152742;1705044;13345740;4612883;1728061;3116269;4172816;934786;347280;5374048;6934435;1348129;3543628;1079955;3700149;16140902;5754288;4773897;11153638;1416453;2860961;11629562;3848936;4274573;237452158;56973471;32619555;18639828;6584194;36222724;2124984;4195286;49149943;51347808;24637880;34400496;80191918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/11;2218652;32261912;2044587;8588430;3364475;6810240;8297143;791433;961692;9000948;2695303;5006068;413350;1518278;1478529;8866197;5353408;1318726;2577473;3368603;1047164;323193;5382674;6732498;1045045;3379098;981168;3213476;18034897;5827434;4378416;10518364;1562631;2805392;9674644;4007592;4024471;244272232;48424409;39978005;18246663;6303832;36084322;2437766;4560548;46140067;51193113;13448580;51101525;60715602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/12/11;2237020;24366856;5357087;6236050;3128684;5216716;5738538;543785;806746;7347054;1645155;3682970;321105;1328227;990905;11570853;4200017;1354070;1881971;2555542;920185;282025;4398628;5699836;1122230;4482034;1116705;2903358;15482171;5260928;7109846;11696772;1009255;2272070;7989138;4839004;3120263;170570327;33880839;27031749;12970533;5321799;37452498;2582350;4367244;26347410;26915962;6187870;28405343;50242190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/12/11;1875829;29352141;5084973;6047112;2587964;6569786;6600528;598693;756580;5809420;2066005;3956209;518803;1228833;1668223;12915639;3956544;1976329;2466488;2940505;1151576;326037;4486703;5899119;1072598;3319574;985398;2711422;15021311;4143860;4441221;13831698;1111905;2487656;8876639;3774591;3077450;163620714;40932525;29985323;13821367;6035658;29637578;1859515;3006946;46794374;40575877;10690065;87653533;73089957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/12/11;2200184;32836123;2686548;6948425;3444107;6675564;9329940;953198;921923;7336279;2175497;5190350;548869;1734968;1657011;11010056;5002233;2089117;3093233;4920077;1345559;406009;5250277;6240383;880380;3064745;1968618;3261290;15967637;4850079;4052838;9797622;1934603;4538410;7534310;4821760;3013586;209238778;42279293;31186589;13761580;10023032;27169893;1638985;4421840;100387447;44167769;15109605;58244874;89219871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/12/11;2232662;31650622;2390459;7023240;3561738;5085896;6056185;794010;893822;7720644;1580205;5937062;554712;1420967;1710287;7897234;4039414;1414855;2393568;3955190;1618002;344029;3915639;5822675;1105022;3109668;1232496;4256667;17132660;4778658;5297836;10045410;1250505;3100241;7935412;3439539;4098177;197721251;38611459;29618236;11606789;7179158;28023541;2054896;3590794;38354434;79257098;12495720;69489501;105210380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/12/11;3615457;39616448;2574657;7573941;8224767;12579019;8451791;1243307;1712482;15110816;3065424;10599646;525946;3564072;2367268;16502271;9187515;1025529;3680937;5979479;1788720;756282;10552561;12888337;2265790;6067947;2653884;8943413;38231032;10576748;11839333;31737023;2027599;5251479;14970830;10944465;8894991;354229154;111475356;40470221;40599731;16782287;38809468;1947504;6646583;97664718;275066505;16587320;239608050;249140991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/12/11;1989222;19211345;1407233;4432974;2426652;7733976;4735165;567922;792696;6831767;1134046;3617401;307277;1917311;1067347;6912063;2830386;572552;1791513;3790565;1152887;278916;4097177;4856765;693876;1898137;970773;2326932;14762464;2929543;2919128;6741277;918714;3241872;5107355;2334953;2510405;185389774;31634631;25643546;11247761;5213148;17389112;1238515;2321582;23252893;24404159;8327615;29201170;77656377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/12/11;1310270;33197023;1756904;6781006;3485197;8647528;6023340;721602;866930;8852537;1749552;4793601;410825;2401957;2108747;9205191;3935555;885644;1955011;3419290;1101796;294262;3660309;6712261;773537;2301162;1518375;3461276;26867104;3524142;4320842;7413761;949283;2321189;7319798;3719711;3028479;164939108;42362444;25978103;11703372;6841393;21491551;1168272;3299657;31015267;41407462;10183735;32350009;51457830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/12/11;1855212;24408036;1412911;9508880;2690931;5003341;7872660;666915;833987;6296559;2037048;3727995;457684;1792336;2542205;10807665;4201708;1354416;2096886;3297557;1031013;310884;3609086;5910054;901186;3419444;988887;3227213;15953194;3368740;4184505;8958405;1024379;1919814;9001368;9066562;3465207;359909274;44819214;42766020;11669325;7592922;30885957;1798912;3392085;59167691;24138536;6957860;46374387;75029957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
