Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/08/12;65,69;2,2;34,9;34,525;68,05;40,25;20,95;100,85;87,4272;11,48;50,34;15,93;68,89;49,755;30,11;11,52;19,95;28,48;27,05;16,235;119,8632;164,8;27,96;40,75;119,5;87,17;29,2;63,2;9,452;61,52;15,88;18,28;145;59,95;24,617;51,94;71,863;1,162;2,54;3,122;17,87;10,95;5,827;46,42;18,645;3,26;10,3366;17,3;5,96;5,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/12;65,81;2,244;35,395;35;66,55;40,38;21,55;100,7;87,3635;11,5;51,26;16,03;68;49,52;30,25;11,57;20,04;28,425;27,525;16,24;120,2237;164,55;27,86;41,815;119,55;87,6;28,963;62,63;9,456;62,05;15,95;18,255;146,35;61,46;25,485;51,99;72,319;1,174;2,574;3,17;17,92;11,08;5,914;46,955;18,86;3,35;10,5393;17,412;6,04;5,719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/12;66,16;2,246;35,375;34,385;67,1;40,45;20,77;101,3;87,6363;11,495;51,47;15,9;68,15;49,91;30,32;11,425;20,17;27,97;27,78;16,05;120,449;164,5;27,955;41,9;118,6;87,73;29,173;62,75;9,489;62,3;15,705;18,15;145,95;61,22;25,123;52,46;72,416;1,179;2,566;3,168;17,81;11,01;5,806;46,9;18,835;3,344;10,475;17,242;5,91;5,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/12;65,67;2,276;35,745;35,225;67,01;40,45;21,57;101,9;88,8272;11,475;51,96;15,865;69,38;50,77;30,715;11,78;20,23;28,28;28,72;16,38;120,7644;163,95;27,935;42,175;119,3;88,32;29,317;62,6;9,475;63,04;15,635;18,235;147,05;61,64;26,401;52,86;73,249;1,239;2,6;3,258;18,01;11,54;5,971;47,3;18,83;3,336;10,5442;17,894;5,98;5,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/08/12;65,05;2,318;35,09;35,015;65,55;39,805;21,25;99,79;86,7454;11,285;50,36;15,575;67,51;50,46;30,64;11,8;19,84;28,19;28,065;16,225;119,6379;162,95;27,55;41,71;117,9;88,21;28,467;61,43;9,432;62,32;15,54;18,16;147;61,39;26,296;51,97;72,455;1,247;2,558;3,202;17,7;11,45;5,891;46,74;18,51;3,204;10,2229;17,406;5,813;5,551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/08/12;64,17;2,392;34,77;34,775;64,7;39,38;20,745;99,45;86,5545;11,22;49,8;15,805;67,96;50,33;29,92;11,645;19,63;27,585;27,67;15,855;118,4212;162,7;27,465;41,19;116,5;87,51;27,967;60,7;9,359;61,68;15,3;17,865;145,8;60,81;26,239;51,38;71,815;1,207;2,528;3,146;17,52;11,05;5,82;46,11;18,465;3,117;10,0944;17,228;5,71;5,592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/08/12;65,4;2,492;34,845;34,18;65,35;39,385;20,57;100,15;87,3181;11,26;49,8;15,62;68,97;51,01;29,6;11,595;19,765;27,4;27,57;16,1;118,8718;162,1;27,775;40,98;116,85;87,36;28,133;61,46;9,464;62,13;15,325;18,05;142,6;60,05;25,995;51,69;72,232;1,19;2,558;3,102;17,41;10,97;5,739;46,15;18,215;3,121;10,0845;17,436;5,728;5,556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/12;66;2,684;35,275;34,9;65,69;39,6;20,98;101,15;88,1817;11,445;50,41;15,65;69,44;51,29;29,63;11,665;19,99;27,545;27,95;16,325;120,3138;164,25;27,955;41,56;117,3;87,92;28,2;62,23;9,575;62,82;15,505;18,255;144,2;60,77;26,63;52,54;72,939;1,226;2,562;3,136;17,5;11,06;5,844;46,3;18,47;3,18;10,1734;17,694;5,838;5,615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/08/12;66,56;2,474;34,665;34,53;65,34;39,24;20,995;101;86,2272;11,31;49,445;15,5;68,84;50,69;29,775;11,63;19,765;27,69;27,4;16;119,3224;163;27,81;41,435;116,85;87,68;27,9;61,63;9,524;62,45;15,35;18,13;144,05;60,53;26,129;51,78;72,677;1,221;2,57;3,142;17,47;11,08;5,78;44,67;18,43;3,169;10,0894;17,414;5,818;5,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/08/12;66,72;2,27;34,59;34,305;65,41;39,425;20,85;96,58;86,6363;11,03;49,57;15,11;68,85;49,99;30,345;11,58;19,5;27,93;27,15;15,75;118,962;163,5;27,82;41,34;116,95;87,02;28,157;62,05;9,516;62,52;15,525;18,145;144,85;60,21;26,196;52,04;72,726;1,212;2,556;3,124;17,5;11,09;5,762;45,475;18,5;3,129;9,9856;17,418;5,843;5,485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/08/12;66,5;2,236;34,2;33,84;64,59;39,17;20,465;95,72;85,0636;10,86;48,91;15,605;70,59;49,49;30,18;11,345;19,295;27,945;26,935;16,81;116,4385;161;27,7;39,055;116;85,8;27,97;61,19;9,367;61,22;15,27;18,055;139,1;57,35;25,728;51,52;72,338;1,201;2,544;3,054;17,34;10,96;5,913;44,9;18,085;3,072;9,777;17,324;5,755;5,348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/12;66,78;2,26;34,59;34,555;65,05;39,705;21,05;97,74;85,0454;10,995;50,21;15,59;69,39;49,55;30,32;11,51;19,575;27,855;27,275;16,665;116,9793;162,15;27,73;39;117,7;87,27;28,273;61,67;9,485;61,81;15,445;18,285;140,4;57,66;26,968;52,41;73,084;1,25;2,62;3,148;17,62;11,34;6,082;45,035;18,28;3,154;9,9263;17,682;6,073;5,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/12;68,72;2,366;34,88;34,87;66,51;40,045;21,02;99,73;85,909;11,145;50,97;15,725;70,57;50,4;30,81;11,62;19,685;28,135;27,725;16,875;117,1595;163,8;27,99;38,605;118,25;87,72;28,957;62,78;9,533;62,44;15,69;18,505;137,5;57,15;27,073;53,03;73,424;1,261;2,646;3,2;17,52;11,51;6,107;45,575;18,45;3,215;10,0449;17,87;6,08;5,679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/09/12;68,16;2,286;34,385;34,51;64,52;39,42;20,76;99;84,6817;11,085;49,265;15,52;69,69;49,705;29,985;11,59;19,46;27,57;27,095;16,43;115,1768;160,55;27,795;37,77;117,85;88,1;28,583;62,26;9,52;61,51;15,795;18,375;133,5;55,39;26,448;52,38;72,396;1,256;2,648;3,236;17,26;11,56;6,01;44,6;18,27;3,301;10,3267;17,79;6,06;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/09/12;68,43;1,99;33,96;35,22;65,09;39,225;21,275;99,74;85,7817;10,98;48,98;15,325;71,19;49,585;29,935;11,67;19,43;27,77;27,115;16,285;115,4021;161,5;27,83;37,72;118,15;88,79;28,98;62,91;9,54;61,43;15,565;18,435;135,25;55,05;26,539;53,15;72,58;1,261;2,654;3,242;17,04;11,48;6,102;44,86;18,395;3,272;10,3119;18,136;6,069;5,718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/09/12;69,94;1,932;35,155;37,145;67,12;40,5;22,925;100,85;88,3908;11,12;51,3;15,355;73,85;50,72;30,505;12,04;19,28;28,3;28,42;16,98;119,2323;164,05;28,315;39,29;119,9;91,15;29,5;65,53;9,737;63,77;15,98;18,785;140,5;57,23;28,413;53,93;74,16;1,336;2,748;3,506;17,69;12,19;6,384;45,55;19,03;3,488;10,8606;19,114;6,39;5,981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/09/12;68,09;2,056;35,465;37,775;66,15;40,545;24,49;98,11;87,7454;10,61;52,32;15,65;72,37;49,8;30,25;12,325;19,44;28,05;29,245;16,985;119,728;163,3;27,88;39,1;120,3;92,34;29,357;65,22;9,674;64,2;15,4;19,05;141,3;58,03;29,906;53,79;74,984;1,356;2,84;3,66;17,99;12,27;6,695;43,91;19,49;3,59;11,0583;17,826;6,51;6,083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/12;66,18;2,09;35,7;38,165;65,72;40,45;24,405;96,82;87,1908;10,43;51,25;15,655;72,27;49,38;29,56;12,345;19,5;27,78;29,08;16,86;119,1873;163;27,405;38,77;120,75;92,86;28,997;64,41;9,641;64,13;15,385;19,055;142;58,53;30,373;53,51;75,294;1,345;2,83;3,674;17,86;12,31;6,683;43,865;19,03;3,512;10,9545;17,8;6,49;6,069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/09/12;66,55;2,172;36,395;39,01;67,4;41,195;24,66;97,7;87,7363;10,55;50,91;15,82;73,61;49,3;29,67;12,525;19,75;28,09;29,145;17;115,1768;160,9;27,61;39,355;121,1;93,95;29,413;65,47;9,828;65,72;15,355;19,38;143,45;59,38;31,618;53,7;75,972;1,358;2,89;3,72;17,97;12,57;6,667;43,64;19;3,561;11,1028;17,88;6,57;6,175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/09/12;65,3;2,212;36,785;38,92;67,28;41,05;24,73;97;88,009;10,785;51,85;15,82;72,72;48,945;28;12,775;19,875;27,655;29,175;17,255;112,8787;162,55;27,355;39,185;121,8;95;29,17;65,75;9,713;65,66;15,38;19,52;146,85;60,56;31,47;54,4;75,914;1,365;2,974;3,812;17,91;12,61;6,8;43,175;18,765;3,644;11,2956;17,34;6,63;6,254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/09/12;65,22;2,232;35,455;38,31;66,91;40,89;23,925;97,65;87,3999;10,61;50,19;15,7;73,15;48,85;25,145;12,61;19,62;27,485;28,44;16,81;111,1213;161,7;27,305;38,96;122,55;94,46;29,16;65,38;9,701;65;15,43;19,52;145,35;59,97;30,726;54,5;75,875;1,333;2,964;3,696;17,95;12,44;6,652;43,01;18,705;3,62;11,1918;17,438;6,511;6,139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/09/12;65,02;2,342;36,615;39,99;67,33;41,84;24,75;97,5;89,009;10,685;52,68;15,83;73,12;49,015;25,305;12,955;19,89;27,945;30,345;17,415;114,2756;163,65;27,23;40,12;124,3;96,52;28,703;64,9;9,687;66,63;15,415;19,46;152,5;62;32,328;54,9;77,038;1,353;3,03;3,756;18,7;12,75;6,89;43,9;18,985;3,784;11,4488;17,898;6,68;6,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/12;65,05;2,28;36,245;40,195;66,8;41,42;25,03;97,11;89,2817;10,425;51,57;15,535;72,66;48,91;25,7;12,945;20,005;28,185;30,24;17,085;112,2929;163,7;27,47;39,8;124,35;96,19;28,763;65,57;9,762;66,65;15,4;19,23;151,65;61,69;32,491;54,9;76,786;1,344;3,02;3,714;18,51;12,63;6,811;43,77;18,885;3,778;11,3697;18,27;6,672;6,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/09/12;65,83;2,19;35,44;39,535;66,82;41;24,1;97,05;88,7272;10,02;49,9;15,25;72,83;49,19;25,74;12,445;19,695;27,97;29,745;17,09;112,0676;162,75;27,68;39,19;122,95;95,01;28,863;65,1;9,632;66,78;15,32;19,065;148,1;60,45;30,903;55,72;76,67;1,265;2,95;3,546;18,3;12,11;6,657;43,43;18,9;3,738;11,2511;18,388;6,48;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/09/12;66,33;2,21;35,91;39,525;68;41,47;24,1;97,3;90,4454;9,925;48,785;15,5;73,34;49,75;25,635;12,455;19,65;28,28;30;17,4;112,9688;162,45;27,96;40,035;122,55;94,83;28,753;65,43;9,854;66,95;15,32;19,145;150,5;61,19;31,379;56;76,709;1,268;2,98;3,542;18,44;12,11;6,673;42,12;18,86;3,749;11,2709;19,062;6,453;6,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/09/12;67,04;2,2;35,53;38,915;68,19;40,81;23,555;97,11;90,4726;9,828;48,85;15,26;73,62;49,65;25,935;12,35;19,385;28,22;29,855;17,235;111,7521;162,6;28,065;39,225;123,35;94,09;29,197;65,9;10,015;67,44;15,49;19,085;149,9;59,44;31,041;55,99;77,028;1,225;2,98;3,432;18,24;11,75;6,606;42,2;18,91;3,71;11,0583;19,4;6,316;6,036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/09/12;67,15;2,114;35,34;39,665;69,05;40,8;23,795;97,12;90,4454;9,865;49,025;15,69;74,35;50,01;25,7;12,465;19,495;28,22;30,29;17,42;110,4454;162,45;28;40,205;124,95;94,98;29,097;67,5;10,04;67,9;15,565;19,1;155,05;59,79;31,565;56,3;76,699;1,256;2,98;3,46;18,56;11,84;6,677;41,555;18,88;3,779;11,2214;19,876;6,55;6,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/12;67,01;2,102;34,8;39,065;68,76;40,55;23,405;97,33;90,1635;9,765;48,545;15,42;73,59;49,475;25;12,35;19,465;28,14;29,46;17,15;110,7157;161,4;27,99;40,1;124,6;94,18;29,487;67,7;9,947;67,48;15,49;19,035;154,9;59,64;31,27;56,04;76,447;1,248;3,01;3,432;17,99;11,77;6,594;40,975;18,67;3,76;11,1275;19,52;6,47;6,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
