Date;AAPL UW Equity;ABBV UN Equity;ABT UN Equity;ACN UN Equity;AGN UN Equity;AIG UN Equity;ALL UN Equity;AMGN UW Equity;AMZN UW Equity;APC UN Equity;AXP UN Equity;BA UN Equity;BAC UN Equity;BIIB UW Equity;BK UN Equity;BLK UN Equity;BMY UN Equity;BRK/B UN Equity;C UN Equity;CAT UN Equity;CELG UW Equity;CL UN Equity;CMCSA UW Equity;COF UN Equity;COP UN Equity;COST UW Equity;CSCO UW Equity;CVS UN Equity;CVX UN Equity;DD UN Equity;DIS UN Equity;DOW UN Equity;DVN UN Equity;EMC UN Equity;EMR UN Equity;EXC UN Equity;F UN Equity;FB UW Equity;FDX UN Equity;FOX UW Equity;FOXA UW Equity;GD UN Equity;GE UN Equity;GILD UW Equity;GM UN Equity;GOOG UW Equity;GOOGL UW Equity;GS UN Equity;HAL UN Equity;HD UN Equity;HON UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KMI UN Equity;KO UN Equity;LLY UN Equity;LMT UN Equity;LOW UN Equity;MA UN Equity;MCD UN Equity;MDLZ UW Equity;MDT UN Equity;MET UN Equity;MMM UN Equity;MO UN Equity;MON UN Equity;MRK UN Equity;MS UN Equity;MSFT UW Equity;NKE UN Equity;NSC UN Equity;ORCL UN Equity;OXY UN Equity;PCLN UW Equity;PEP UN Equity;PFE UN Equity;PG UN Equity;PM UN Equity;PYPL UW Equity;QCOM UW Equity;RTN UN Equity;SBUX UW Equity;SLB UN Equity;SO UN Equity;SPG UN Equity;T UN Equity;TGT UN Equity;TWX UN Equity;TXN UW Equity;UNH UN Equity;UNP UN Equity;UPS UN Equity;USB UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WBA UW Equity;WFC UN Equity;WMT UN Equity;XOM UN Equity
13/02/12;30236871;#N/A N/A;893572;642878;320718;469292;891072;1480583;1386277;861724;635415;770523;34436308;818835;929613;197033;2010138;1002376;4796128;1258181;1457164;919948;2250673;1130048;2191536;508490;11157738;1567792;1033249;1115610;1795474;1431049;682592;2780633;801267;1547011;6238305;#N/A N/A;461715;564704;6013457;449745;7811413;3916334;2008491;#N/A N/A;496993;807459;3232741;1207474;791147;533879;5864871;1876298;3659812;283908;3113516;1018773;709637;1560425;1017510;821774;#N/A N/A;1171556;1624503;669083;2456023;474287;2152726;2683297;8447248;1345072;506574;#N/A N/A;461502;420625;1899637;5041592;1685920;2093904;#N/A N/A;3580696;472967;2363446;1490206;581679;242162;5139783;615533;806298;2291245;1120762;1065684;564546;1322706;1279027;6919068;2118046;#N/A N/A;2784003;885256;2725413
14/02/12;24962658;#N/A N/A;1250848;915939;616821;567197;691109;1619276;2229666;614110;932188;816828;35380010;318450;2053520;170196;1763176;1383335;7120223;1123832;1896280;1012192;4690805;875838;2406912;377709;7485122;1624071;1365410;1309937;2011264;1302879;1016919;2886133;1387440;2067064;6888756;#N/A N/A;484458;1203122;5364063;481273;7349504;3649724;1902272;#N/A N/A;506318;1065506;1980703;1250712;516985;838158;6982302;2073620;4632664;355460;3464806;1218273;498562;1428135;1488720;997449;#N/A N/A;2005595;3379881;814054;2002355;581742;1924310;3784754;16096026;2199156;636606;#N/A N/A;690272;341814;2161059;4736912;1378713;1425618;#N/A N/A;3236247;518961;2098188;1399283;732604;362526;5019279;1032238;924462;2359683;1111902;791268;655336;2092090;665263;3414208;1979527;#N/A N/A;3621690;1313080;2671724
15/02/12;79450189;#N/A N/A;1436858;1091479;422362;484981;611511;1433569;1814483;694854;1012787;871713;37918212;320405;1464611;112381;1916345;1527514;6640090;1600085;3065902;1105938;11320347;2023104;2435738;547712;10800468;1948827;1271289;1148616;2059454;1346040;2221354;5685064;945710;1353182;5662588;#N/A N/A;323087;1336682;4071177;620460;6049932;3249218;3120865;#N/A N/A;663784;1263179;3817157;1152901;812292;804430;9463014;1851700;4382492;346444;4908552;892990;759277;1972365;1062270;1222839;#N/A N/A;1427820;2709046;1127635;2819329;576388;2319105;2862824;11825646;2375480;1293717;#N/A N/A;495706;255057;1863216;4991513;2199484;1581771;#N/A N/A;3956189;680913;2556214;2077032;803195;307933;5238035;910085;1080816;2485814;1440119;2151646;706675;2277610;1295688;4512520;1958907;#N/A N/A;4008922;1193310;2456555
16/02/12;44191028;#N/A N/A;1268398;565423;487313;760852;587615;2002870;2527662;434322;1341485;829613;34016970;238046;1847781;289715;2219726;1447579;6682072;1139897;1456440;1127352;6181089;1246129;2025618;449145;9331497;2028709;1319581;851869;1813573;1313900;1464565;6543358;719052;1656147;7455136;#N/A N/A;421405;816355;5032436;342524;7471821;5207630;6747877;#N/A N/A;695223;1177892;2927000;1083166;526879;791042;11637244;1762790;4363488;381226;2986830;938045;508685;2077489;1211900;917066;#N/A N/A;1174639;1589619;776013;2298789;871418;2068210;3868429;22840615;2167308;895917;#N/A N/A;560143;179905;2129577;3881480;2763427;1321588;#N/A N/A;3900239;893219;2403312;3290978;1080419;478847;5196174;736707;997608;2612716;1276419;1895866;738086;2272908;689951;3170604;1661447;#N/A N/A;4369816;2148756;4045787
17/02/12;31911670;#N/A N/A;2728942;882400;420466;719322;977187;2902038;1787644;1412808;1664445;1206992;57367766;744890;3052159;221078;4695622;2825681;7334918;1464087;2318354;1671858;9870160;1377004;3012981;869782;19318140;3019078;2555189;1955946;3148407;2680803;1252450;4469670;1282654;2374931;6353164;#N/A N/A;1163538;770135;7881108;513700;15858673;28915196;3679450;#N/A N/A;855998;1224031;3190008;2627777;1336457;1446452;24721935;3664980;7917465;318876;6192096;2294926;863451;2339978;2134360;2048235;#N/A N/A;2229078;2279524;1344266;4051651;951727;5430698;3293665;25846474;2737564;1012628;#N/A N/A;1085731;263037;4015004;10925973;4049347;2659256;#N/A N/A;5389592;787745;4907994;3783339;1905081;540945;9754202;1360541;1675505;2768701;1893498;2693572;1958215;3236852;1456220;4961028;4002835;#N/A N/A;9178036;2594873;6906457
20/02/12;31911670;#N/A N/A;2728942;882400;420466;719322;977187;2902038;1787644;1412808;1664445;1206992;57367766;744890;3052159;221078;4695622;2825681;7334918;1464087;2318354;1671858;9870160;1377004;3012981;869782;19318140;3019078;2555189;1955946;3148407;2680803;1252450;4469670;1282654;2374931;6353164;#N/A N/A;1163538;770135;7881108;513700;15858673;28915196;3679450;#N/A N/A;855998;1224031;3190008;2627777;1336457;1446452;24721935;3664980;7917465;318876;6192096;2294926;863451;2339978;2134360;2048235;#N/A N/A;2229078;2279524;1344266;4051651;951727;5430698;3293665;25846474;2737564;1012628;#N/A N/A;1085731;263037;4015004;10925973;4049347;2659256;#N/A N/A;5389592;787745;4907994;3783339;1905081;540945;9754202;1360541;1675505;2768701;1893498;2693572;1958215;3236852;1456220;4961028;4002835;#N/A N/A;9178036;2594873;6906457
21/02/12;29604841;#N/A N/A;1435309;809985;356993;833925;555805;2424837;1428414;1410972;1273071;870358;57381797;421969;2701072;156043;2993395;1262587;11162941;1702909;1937824;1216430;4112041;1241863;3364757;650418;11039724;1589597;1716801;1413880;1929633;2641825;584702;2946579;833473;1965223;5090687;#N/A N/A;794682;358337;3345925;340599;8411977;9466134;1777897;#N/A N/A;665550;1355150;5587500;3184885;675857;711078;10049093;2007985;4974154;291665;5288200;2180707;441601;2839345;2341090;1404459;#N/A N/A;1806941;1523633;708301;2123017;1003208;3144323;2001673;12397115;2139796;763320;#N/A N/A;875612;234979;1404042;5216669;2705194;1840055;#N/A N/A;3268719;468347;2903364;2833264;853866;413318;5867705;949272;1164453;2159574;1469638;1529354;857230;3082102;1116922;2253252;2344539;#N/A N/A;5743586;4069181;4179397
22/02/12;23306864;#N/A N/A;1270471;1019521;289865;862814;810582;1541851;1154129;959301;1449699;722093;20834535;298290;1546718;98027;2964797;1106853;5715235;1217536;1489474;1122210;5902245;832164;2021238;604838;10417856;1120520;2099626;917954;1717162;2108649;512442;2725995;821556;1432296;5198754;#N/A N/A;442202;557756;2870897;334657;6871492;7991820;2553132;#N/A N/A;548413;882786;3233927;1923091;721265;1045222;14248525;1693200;4200075;307440;4549814;1002428;320417;3012205;1932650;1333156;#N/A N/A;1960688;1487925;847402;1681936;641880;2524492;2166306;12787757;1701344;636753;#N/A N/A;720134;279385;1140380;6662896;1774761;1670609;#N/A N/A;2830264;446673;2346946;2821152;913119;289147;4734379;1362534;1236602;1816266;1082322;1385452;589429;1890283;939733;2660280;2094591;#N/A N/A;5648533;4736009;2658041
23/02/12;24548356;#N/A N/A;2046933;1098935;280002;1152553;550536;1460039;1328674;623127;1145692;860436;13308961;269279;1474239;148577;1466265;1282197;7835636;1290685;1486976;1466588;5570501;1630741;2345648;553382;8258731;1572273;1827021;996224;1886529;1481326;658619;4087417;1123048;1248007;5537307;#N/A N/A;391393;650594;4501563;299942;7750204;5175770;2033370;#N/A N/A;636218;1081058;3049736;1569672;1010985;1555076;9380126;2505248;7274878;269246;3037082;970023;428635;2519107;1580600;1418169;#N/A N/A;1414651;1596341;943516;2094662;1086951;2671996;2673792;9448611;1764268;660237;#N/A N/A;669748;233658;1412575;8986118;5306772;1323649;#N/A N/A;3839593;494932;2694396;2461444;815606;286522;5378893;2767704;1234895;2091182;1247777;977472;716191;2667802;1176664;2436268;2430510;#N/A N/A;5768554;2611758;3045890
24/02/12;17142419;#N/A N/A;1402197;775098;294957;2367544;521928;1135303;746872;602385;940798;672170;15162880;315870;1391696;100276;1467591;1766272;3201531;852126;1137568;1095834;4417246;1040398;2307372;454624;6618505;1076805;1482631;951925;1891689;931969;506236;2639391;806899;719005;4183197;#N/A N/A;540451;811370;4427930;506685;4251047;3950912;2318461;#N/A N/A;543507;880030;1941128;1225743;659836;839054;8397618;2270667;2937329;392797;2936130;849915;481995;2179196;2150100;1046223;#N/A N/A;1195314;900734;710878;1768634;656412;1912605;1907415;8391057;1405320;747426;#N/A N/A;983545;292165;945995;3971497;3674191;1407635;#N/A N/A;2853751;378001;1993914;1789704;881919;222756;5102220;2198571;1565741;1253822;978977;698986;685530;1920680;676804;1949864;1803170;#N/A N/A;3685010;1589245;2275680
27/02/12;22318156;#N/A N/A;940118;609357;362963;994772;469319;1035817;957758;664045;1272938;853337;43897179;295700;1145095;88943;1209907;1885699;4952888;959159;1979956;1499750;3876839;1236132;2524716;716463;8845531;1831515;2027612;1319066;2431008;1613549;613829;4375702;941732;1085529;5591804;#N/A N/A;461780;502492;4464241;421425;6532577;3977722;2113312;#N/A N/A;477891;968917;2473331;1963328;1046511;759177;13139096;1995790;6179208;684524;4978804;1097348;682062;2924971;1493060;1030505;#N/A N/A;1526371;1392433;823190;5427871;576817;2400154;1979808;9616644;1964688;746918;#N/A N/A;786747;604674;1020927;9405747;4957101;1095654;#N/A N/A;3802220;538488;2183500;1810207;778200;287334;3242136;1626517;1307123;2052624;1111665;973896;927960;3570780;666838;4949236;1453407;#N/A N/A;5143266;1841877;3979205
28/02/12;25484886;#N/A N/A;1951330;551205;462560;1043113;566798;1307310;1474524;557339;2142882;751784;17615842;688381;1164855;129844;2034562;1591097;5409393;894317;2023538;1370240;4458620;1616010;3624293;1075385;7377071;1988295;2610766;956625;2133061;1441521;938571;5445322;992018;1061348;3773511;#N/A N/A;581420;1097306;6883893;388644;5308868;5739234;1690915;#N/A N/A;805430;1162750;2706571;1489647;851816;725007;10259870;2807316;7548895;541794;3251556;1226039;481686;2715483;1547130;1216101;#N/A N/A;1188357;1449980;919801;2276167;666530;2101423;3343054;12804738;1567924;842259;#N/A N/A;747592;846970;1198974;8752475;3695677;1499307;#N/A N/A;4625513;530494;2735042;2230037;851056;338164;3743349;1646162;1433368;2375262;1303411;688776;1089228;2291558;749434;2232888;2571123;#N/A N/A;4322231;2031088;3507423
29/02/12;42885633;#N/A N/A;2473251;784447;674190;1288326;1292964;1573570;1312249;942048;3836819;1314142;25738066;488002;2471322;524502;2908014;2906423;7827746;1907180;3443552;1570434;5471715;12555091;4470770;1656256;12731953;3149142;3432526;1616909;4712850;2785697;1050912;5561901;1336933;1901284;9220058;#N/A N/A;821185;997376;11335022;614990;9226925;5934672;2848237;#N/A N/A;985853;1585942;4603154;3337468;1294006;1636769;15011856;3944203;9488153;671649;8379782;1285983;837453;3101245;2221540;1949072;#N/A N/A;2967948;2320146;1412356;4651598;1135054;3690704;2848741;19402943;2435904;1437283;#N/A N/A;1382437;407792;2115353;11865430;5536586;2113917;#N/A N/A;4813179;1040208;3627444;3331689;1692036;538989;7026998;3019164;3514215;2573554;2057068;1611488;1407504;2615689;1239503;4026116;4185575;#N/A N/A;6357278;3513884;5161713
01/03/12;30078111;#N/A N/A;1957816;820661;501230;922116;986641;1467926;1071620;809188;1428852;739463;19310146;395892;1665196;135907;2674315;1455023;7357746;1554155;1516836;1359224;4107945;1711433;2673587;776267;11029057;1812885;1816459;1127827;2230688;1964600;546230;5146496;1147841;1427702;8978699;#N/A N/A;583242;619217;4783256;452754;6497700;4684842;1999737;#N/A N/A;665628;2468343;3181215;1817932;1162142;795185;12570427;2502223;9670359;364646;5815150;1045361;491934;2039114;1693890;1221056;#N/A N/A;1868925;1611857;788907;2735507;1184821;3524913;3436174;21519365;2952952;700757;#N/A N/A;775906;281301;1494686;10034319;2850810;1512223;#N/A N/A;3844027;851159;2467072;2186626;938480;363429;4498177;1461092;1761245;2165564;1097949;1493024;1140921;3175482;849982;2627888;2260296;#N/A N/A;4795052;3276429;3280243
02/03/12;17978625;#N/A N/A;1854107;488213;366423;1822369;805604;922648;863942;1139651;1034232;616337;12602229;271632;1288164;181431;1350574;1181579;4143200;1375679;1384920;850076;3459674;1043430;1723111;702824;5717050;1154072;1412140;905561;1445386;1488673;377317;4977006;871579;1079161;6243010;#N/A N/A;296793;583608;3392307;319996;5760675;4311350;1959480;#N/A N/A;441674;1321470;3477108;985390;712303;949406;8221050;1747470;5937326;305382;3170970;951324;384676;2064965;1733890;1252649;#N/A N/A;1143302;1057073;713821;1513302;825414;2810969;2515721;11570169;2403632;658348;#N/A N/A;636558;309300;1231798;6186387;1492183;1155310;#N/A N/A;2531990;854977;2603542;2125850;529280;310321;4129008;885638;1297174;1512255;928464;1300648;458313;1975742;752780;2490860;2338564;#N/A N/A;3194142;2007394;2371690
05/03/12;34716031;#N/A N/A;1859194;1280382;279874;2164771;937848;1397876;1091151;580470;1124734;771355;18274562;387837;1251525;86688;1321040;1561066;7851405;2064276;1686432;838246;3694056;952203;1733336;985041;7434613;1285027;1328418;989206;2525270;1586536;509081;3772060;917072;1267438;4583840;#N/A N/A;320714;654225;3708267;425478;6371792;3857034;1694594;#N/A N/A;492556;976666;3687547;1589008;1048385;1321779;8675034;2060173;6406871;241010;3918970;997226;395185;2854276;1029260;1487376;#N/A N/A;1002703;1115796;916758;2052755;891993;3202157;3263991;11985508;2717348;750673;#N/A N/A;842281;219283;1141360;4335256;1479211;1269699;#N/A N/A;3213177;1059145;2675696;2162783;1006047;347331;5418683;864450;1303289;2399205;1009048;1295638;429613;2576640;767860;2611096;2631591;#N/A N/A;3331685;1803534;3846228
06/03/12;34543747;#N/A N/A;1600773;1311038;278182;1921314;875403;1855374;1349627;852252;1470959;1124020;27807165;284418;1767499;141203;2041030;1849239;7720587;2511415;1883406;1562076;4037629;1196021;2227156;1093633;9446636;2042011;2123356;1332425;2491918;2072225;664215;6291846;1466791;1758410;8301056;#N/A N/A;540968;608146;4783881;596360;10167401;6484938;4266691;#N/A N/A;1073878;1756534;3545019;1667672;1299008;1095173;10659879;2177838;6696946;371538;3924880;1214965;377647;2663006;1700890;1500944;#N/A N/A;1880930;1689172;1091608;2817924;910666;3461328;4508803;16029700;2697816;987921;#N/A N/A;1092179;245813;1684916;8414388;2463214;1908179;#N/A N/A;4909189;772445;2610946;2938168;1442069;464873;4798923;1124068;1820100;3149723;1281032;2162826;850100;2468500;1202280;3028476;2132253;#N/A N/A;4818832;1860622;3420714
